CASEID_NEW,highest_degree_received,education,head_of_household_indicator,household_size,housing_type,household_income,marital_status,msa_status,region_4,region_9,own_rent,members_lt_2,members_13_to_17,members_gt_18,members_2_to_5,members_6_to_12,employment_status,has_internet_access,bg_survey_date,age,children_in_hh,next_next_year,gender,race,hispanic,out_of_closet,political_affiliation,born_again,religion,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight_couples_coresident,glb_status,same_gender_partner,partner_latino,partners_race,partner_born_again,partners_religion,partners_relgion_same_as_age_16,partners_religion_at_16,partners_highest_education,partners_mothers_highest_education,partners_political_affiliation,religion_same_as_age_16,religion_at_16,mothers_highest_education,most_time_spend_living_in,relatives_seen_per_month,gender_attraction,has_domestic_partnership,has_civil_union,no_domestic_partnership_or_civil_union,age_when_met,age_when_relationship_started,age_when_moved_in_together,age_married,age_when_domestic_partnership,who_earned_higher_income,attended_same_high_school,attended_same_college,grew_up_in_same_town,knew_parents_first,met_at_work,met_at_school,met_at_church,met_via_personal_ad,met_on_vacation,met_at_bar,mat_at social_club,met_at_private_party,met_at_other,met_at_other_text,met_using_internet,intro_by_family,intro_by_friend,intro_by_coworker,intro_by_classmates,intro_by_neighbor,intro_by_self,intro_by_other,intro_by_other_text,met_online,intro_summary_codes,how_met_online,same_gender_partner2,partner_gender,partner_gender2,age_difference,zip_pct_white,zip_pct_black,zip_pct_hispanic,zip_median_income,zip_pct_foreign_born,zip_rural,HOW_LONG_AGO_FIRST_MET_CAT,highest_earning_gender,same_religion,target_survey_dt,survey_date,marriage_count_combined,time_since_met,time_since_romantic,time_since_cohab,time_since_first_relationship,broke_up,acquainted_before_dated,lived_together_before_married,time_dating_until_married,time_met_until_married,time_met_until_dating,been_divorced,currently_married,living_together,income,couple_religion
425381,bachelors degree,bachelor's degree or higher,1,3,a one-family house detached from any other house,"$75,000 to $84,999",married,metro,west,mountain,owned or being bought by you or someone in your household,0,0,2,0,1,working - as a paid employee,1,2011-08-01,42.0,3.0,2013,female,"white, non-hispanic","no, i am not","yes, relatives",republican,no,mormon,39739,39739,39739,38942,51937, , ,20786.00781,0,,no (not latino or hispanic),white,no,mormon,"yes, the same",,associate degree,hs graduate or ged,republican,"no, i have changed religions","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",master's degree,united states,1,opposite gender only,,,,15,16.0,20,20, ,partner earned more,same high school,did not attend same college or university,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,3,,different sex couple,,male,1,80%-91.99%,<1%,4%-19.99%,$42000-$64999,2%-4.99%,non rural,21-30,male,true,2011-04-01,2013-03-01,1.0,27.07945205479452,26.07945205479452,22.07945205479452,26.07945205479452,0,1.0,0.0,4.0,5.0,1.0,0,1,1,79999.5,other same
427821,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a building with 2 or more apartments,"$12,500 to $14,999",married,metro,northeast,mid-atlantic,rented for cash,0,0,2,0,0,not working - retired,0,2009-04-01,83.0,2.0,2011,female,"white, non-hispanic","no, i am not",no,republican,yes,baptist - any denomination,93220,93220,93220,91015,121387, , ,48758.72266,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,5th or 6th grade,republican,"yes, the same",,7th or 8th grade,united states,3,opposite gender only,,,,17,17.0,18,18, ,we earned about the same amount,different high school,,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,2,,different sex couple,,male,0,55%-79.99%,1%-2.99%,4%-19.99%,$65k+,12%+,non rural,31+,neither,true,2009-02-01,2011-04-01,1.0,67.16164383561645,67.16164383561645,66.16164383561645,67.16164383561645,0,0.0,0.0,1.0,1.0,0.0,0,1,1,13749.5,both baptist
427821,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a building with 2 or more apartments,"$25,000 to $29,999",married,metro,northeast,mid-atlantic,rented for cash,0,0,2,0,0,not working - retired,1,2011-07-01,86.0,2.0,2013,female,"white, non-hispanic","no, i am not",no,republican,yes,baptist - any denomination,93220,93220,93220,91015,121387, , ,48758.72266,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,5th or 6th grade,republican,"yes, the same",,7th or 8th grade,united states,3,opposite gender only,,,,17,17.0,18,18, ,we earned about the same amount,different high school,,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,no,yes,1,met offline,2,,different sex couple,,male,0,55%-79.99%,1%-2.99%,4%-19.99%,$65k+,12%+,non rural,31+,neither,true,2011-04-01,2013-03-01,1.0,69.07945205479452,69.07945205479452,68.07945205479452,69.07945205479452,0,0.0,0.0,1.0,1.0,0.0,0,1,1,27499.5,both baptist
429306,masters degree,bachelor's degree or higher,1,2,a one-family house attached to one or more houses,"$60,000 to $74,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2009-05-01,32.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, friends",republican,yes,pentecostal,32512,32512,32512,31151,41546, , ,17583.63281,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,hs graduate or ged,republican,"yes, the same",,bachelor's degree,united states,6,opposite gender only,no,no,have neither dp nor cu,22,22.0,24, , ,partner earned more,different high school,,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,2,,different sex couple,,male,6,80%-91.99%,3%-19.99%,<2%,$42000-$64999,5%-11.99%,non rural,6-10,male,false,2009-02-01,2011-04-01,,10.161643835616438,10.161643835616438,8.161643835616438,10.161643835616438,0,0.0,,,,0.0,0,1,1,67499.5,other different
429306,masters degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2011-07-01,34.0,2.0,2013,female,"white, non-hispanic","no, i am not","yes, friends",republican,yes,pentecostal,32512,32512,32512,31151,41546, , ,17583.63281,0,,no (not latino or hispanic),white,yes,baptist - any denomination,"yes, the same",,hs graduate or ged,hs graduate or ged,republican,"yes, the same",,bachelor's degree,united states,6,opposite gender only,no,no,have neither dp nor cu,22,22.0,24, , ,partner earned more,different high school,,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,2,,different sex couple,,male,6,80%-91.99%,3%-19.99%,<2%,$42000-$64999,5%-11.99%,non rural,6-10,male,false,2011-04-01,2013-03-01,,12.07945205479452,12.07945205479452,10.07945205479452,12.07945205479452,0,0.0,,,,0.0,0,1,1,67499.5,other different
431851,masters degree,bachelor's degree or higher,1,2,a one-family house attached to one or more houses,"$40,000 to $49,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,0,2009-05-01,86.0,2.0,2011,male,"white, non-hispanic","no, i am not",no,democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",105185,105185,105185,102129,136211, , ,55017.53906,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,hs graduate or ged,12th grade no diploma,no preference,"yes, the same",,12th grade no diploma,united states,1,opposite gender only,,,,57,57.0,59,59, ,i earned more,different high school,,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,female,24,55%-79.99%,3%-19.99%,<2%,$42000-$64999,2%-4.99%,non rural,21-30,male,false,2009-02-01,2011-04-01,2.0,30.161643835616438,30.161643835616438,28.161643835616438,30.161643835616438,0,0.0,0.0,2.0,2.0,0.0,1,1,1,44999.5,both protestant
432411,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$75,000 to $84,999",married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,1,2,0,1,working - as a paid employee,1,2009-05-01,42.0,4.0,2011,male,hispanic,"yes, south american","yes, friends",democrat,no,none,77905,77905,77905,75221,100323, , ,63002.58203,0,,"yes, other latino/hispanic",white,no,catholic,"yes, the same",,master's degree,associate degree,democrat,"yes, the same",,associate degree,all others,3,opposite gender only,,,,22,22.0,22,25, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,female,1,55%-79.99%,3%-19.99%,4%-19.99%,$65k+,12%+,non rural,16-20,male,false,2009-02-01,2011-04-01,1.0,21.161643835616438,21.161643835616438,21.161643835616438,21.161643835616438,0,0.0,1.0,3.0,3.0,0.0,0,1,1,79999.5,none/catholic
432411,bachelors degree,bachelor's degree or higher,1,4,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,1,2,0,1,working - as a paid employee,1,2011-07-01,44.0,4.0,2013,male,hispanic,"yes, south american","yes, friends",democrat,no,none,77905,77905,77905,75221,100323, , ,63002.58203,0,,"yes, other latino/hispanic",white,no,catholic,"yes, the same",,master's degree,associate degree,democrat,"yes, the same",,associate degree,all others,3,opposite gender only,,,,22,22.0,22,25, ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,female,1,55%-79.99%,3%-19.99%,4%-19.99%,$65k+,12%+,non rural,16-20,male,false,2011-04-01,2013-03-01,1.0,23.07945205479452,23.07945205479452,23.07945205479452,23.07945205479452,0,0.0,1.0,3.0,3.0,0.0,0,1,1,67499.5,none/catholic
437831,"some college, no degree",some college,1,2,a one-family house detached from any other house,"$125,000 to $149,999",married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,not working - retired,1,2009-05-01,84.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, friends",other,no,catholic,62700,62700,62700,59787,79738, , ,32795.23438,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,bachelor's degree,master's degree,republican,"yes, the same",,professional or doctorate degree,united states,2,opposite gender only,,,,47,47.0,48,48, ,we earned about the same amount,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,yes,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,2,,different sex couple,,female,10,92% and higher,<1%,<2%,$65k+,5%-11.99%,non rural,31+,neither,false,2009-02-01,2011-05-01,3.0,38.24383561643835,38.24383561643835,37.24383561643835,38.24383561643835,0,0.0,0.0,1.0,1.0,0.0,1,1,1,137499.5,catholic/protestant
439271,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,midwest,west-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,29.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, friends",democrat,no,catholic,58098,58098,58098,56806,75763, , ,30388.1582,0,,refused,white,no,catholic,"yes, the same",,bachelor's degree,"some college, no degree",republican,"yes, the same",,associate degree,united states,6,opposite gender only,,,,21,21.0,22,25, ,i earned more,different high school,attended same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,yes,no,no,no,no,0,met offline,2,,different sex couple,,male,1,80%-91.99%,3%-19.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,6-10,female,true,2009-02-01,2011-05-01,1.0,8.243835616438357,8.243835616438357,7.243835616438356,8.243835616438357,0,0.0,1.0,4.0,4.0,0.0,0,1,1,67499.5,both catholic
441341,associate degree,some college,1,5,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,1,2,working - as a paid employee,1,2009-12-01,36.0,5.0,2011,male,"white, non-hispanic","no, i am not",no,democrat,no,other christian,55251,55251,55251,53398,71217, , ,28899.55859,0,,no (not latino or hispanic),white,no,other christian,"yes, the same",,bachelor's degree,hs graduate or ged,no preference,"no, i have changed religions",catholic,bachelor's degree,united states,0,opposite gender only,,,,15,15.0,21,21, ,i earned more,same high school,did not attend same college or university,no,yes,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,female,0,55%-79.99%,3%-19.99%,2%-3.99%,$42000-$64999,5%-11.99%,non rural,16-20,male,true,2009-02-01,2011-04-01,1.0,21.161643835616438,21.161643835616438,15.161643835616438,21.161643835616438,0,0.0,0.0,6.0,6.0,0.0,0,1,1,67499.5,both other christian
441341,associate degree,some college,1,5,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,1,2,working - as a paid employee,1,2011-06-01,38.0,5.0,2013,male,"white, non-hispanic","no, i am not",no,democrat,no,other christian,55251,55251,55251,53398,71217, , ,28899.55859,0,,no (not latino or hispanic),white,no,other christian,"yes, the same",,bachelor's degree,hs graduate or ged,no preference,"no, i have changed religions",catholic,bachelor's degree,united states,0,opposite gender only,,,,15,15.0,21,21, ,i earned more,same high school,did not attend same college or university,no,yes,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,female,0,55%-79.99%,3%-19.99%,2%-3.99%,$42000-$64999,5%-11.99%,non rural,16-20,male,true,2011-04-01,2013-03-01,1.0,23.07945205479452,23.07945205479452,17.07945205479452,23.07945205479452,0,0.0,0.0,6.0,6.0,0.0,0,1,1,67499.5,both other christian
443301,bachelors degree,bachelor's degree or higher,0,2,a one-family house detached from any other house,"$85,000 to $99,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2009-04-01,32.0,2.0,2011,male,"white, non-hispanic","no, i am not",no,democrat,no,none,41108,41108,41108,42250,56349, , ,21501.53906,0,,no (not latino or hispanic),white,no,none,"no, has changed religions",catholic,bachelor's degree,master's degree,no preference,"no, i have changed religions",catholic,master's degree,united states,1,opposite gender only,,,,27,28.0,30,29, ,i earned more,different high school,did not attend same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,female,2,55%-79.99%,1%-2.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,3-5,male,true,2009-02-01,2011-04-01,1.0,5.161643835616438,4.161643835616438,2.1616438356164385,4.66027397260274,0,1.0,0.0,1.0,2.0,1.0,0,1,1,92499.5,both none
443301,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$75,000 to $84,999",married,metro,west,pacific,rented for cash,0,0,2,0,0,working - as a paid employee,1,2011-05-01,34.0,2.0,2013,male,"white, non-hispanic","no, i am not",no,democrat,no,none,41108,41108,41108,42250,56349, , ,21501.53906,0,,no (not latino or hispanic),white,no,none,"no, has changed religions",catholic,bachelor's degree,master's degree,no preference,"no, i have changed religions",catholic,master's degree,united states,1,opposite gender only,,,,27,28.0,30,29, ,i earned more,different high school,did not attend same college or university,no,no,yes,no,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,different sex couple,,female,2,55%-79.99%,1%-2.99%,4%-19.99%,$42000-$64999,5%-11.99%,non rural,3-5,male,true,2011-04-01,2013-03-01,1.0,7.079452054794521,6.079452054794521,4.079452054794521,6.578082191780822,0,1.0,0.0,1.0,2.0,1.0,0,1,1,79999.5,both none
444371,associate degree,some college,1,2,a one-family house detached from any other house,"$35,000 to $39,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,38.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,"other non-christian, please specify",141681,141681,141681,136928,182622, , ,74106.77344,0,,no (not latino or hispanic),white,no,baptist - any denomination,"yes, the same",,"some college, no degree",10th grade,democrat,"yes, the same",,hs graduate or ged,united states,4,opposite gender only,,,,22,22.0,22,23, ,i earned more,same high school,did not attend same college or university,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,2,,different sex couple,,female,2,80%-91.99%,3%-19.99%,<2%,$34000-$41999,2%-4.99%,non rural,11-15,male,unknown,2009-02-01,2011-04-01,1.0,17.161643835616438,17.161643835616438,17.161643835616438,17.161643835616438,0,0.0,1.0,1.0,1.0,0.0,0,1,1,37499.5,other different
448326,"some college, no degree",some college,1,2,a one-family house attached to one or more houses,"$50,000 to $59,999",living with partner,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-04-01,33.0,2.0,2011,female,"white, non-hispanic","no, i am not","yes, friends",democrat,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",3481,3481,3481,7803,10423,9276,9276,2025.47937,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,"some college, no degree","some college, no degree",democrat,"yes, the same",,master's degree,united states,6,only same gender,no,no,have neither dp nor cu,26,26.0,26, , ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,yes,no,no,no,no,no,0,"yes, a different kind of internet service",no,no,no,no,no,yes,no,0,met online,1,previously strangers: before online connection respondent and partner were strangers,same-sex couple,,female,2,92% and higher,1%-2.99%,<2%,$42000-$64999,2%-4.99%,non rural,6-10,female,false,2009-02-01,2011-04-01,0.0,8.161643835616438,8.161643835616438,8.161643835616438,8.161643835616438,1,0.0,,,,0.0,0,0,1,54999.5,both protestant
450291,"some college, no degree",some college,1,4,a one-family house detached from any other house,"$60,000 to $74,999",married,metro,northeast,mid-atlantic,owned or being bought by you or someone in your household,0,0,2,0,2,not working - other,1,2009-04-01,31.0,4.0,2011,female,"white, non-hispanic","no, i am not","yes, both",democrat,no,catholic,53346,53346,53346,53325,71120, , ,27902.625,0,,no (not latino or hispanic),white,no,catholic,"yes, the same",,hs graduate or ged,hs graduate or ged,democrat,"yes, the same",,"some college, no degree",united states,6,opposite gender only,,,,19,19.0,21,21, ,partner earned more,different high school,,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,male,1,80%-91.99%,3%-19.99%,2%-3.99%,$34000-$41999,2%-4.99%,non rural,6-10,male,true,2009-02-01,2011-05-01,1.0,12.243835616438357,12.243835616438357,10.243835616438357,12.243835616438357,0,0.0,0.0,2.0,2.0,0.0,0,1,1,67499.5,both catholic
452446,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$125,000 to $149,999",living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-05-01,45.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, friends",republican,no,eastern orthodox,2133,2133,2133,3410,4555,4158,4158,1419.750244,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,associate degree,professional or doctorate degree,democrat,"yes, the same",,11th grade,united states,0,only same gender,yes,no,have either dp or cu,29,29.0,30, ,43,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,2,,same-sex couple,,male,1,<55%,1%-2.99%,20%+,$42000-$64999,12%+,non rural,11-15,female,false,2009-02-01,2011-04-01,0.0,17.161643835616438,17.161643835616438,16.161643835616438,17.161643835616438,0,0.0,,,,0.0,0,0,1,137499.5,other different
452446,bachelors degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$125,000 to $149,999",living with partner,metro,west,pacific,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2011-07-01,48.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, friends",republican,no,eastern orthodox,2133,2133,2133,3410,4555,4158,4158,1419.750244,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,associate degree,professional or doctorate degree,democrat,"yes, the same",,11th grade,united states,0,only same gender,yes,no,have either dp or cu,29,29.0,30, ,43,partner earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,yes,no,no,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,2,,same-sex couple,,male,1,<55%,1%-2.99%,20%+,$42000-$64999,12%+,non rural,11-15,female,false,2011-04-01,2013-03-01,0.0,19.07945205479452,19.07945205479452,18.07945205479452,19.07945205479452,0,0.0,,,,0.0,0,0,1,137499.5,other different
453361,"some college, no degree",some college,1,4,a one-family house detached from any other house,"$75,000 to $84,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,2,working - as a paid employee,1,2009-04-01,37.0,4.0,2011,male,"white, non-hispanic","no, i am not","yes, friends",republican,no,none,4478,4478,4478,8472,11317,10052,10052,2342.218018,1,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,"some college, no degree",hs graduate or ged,republican,"yes, the same",,hs graduate or ged,united states,0,opposite gender only,,,,17,17.0,22,22, ,i earned more,same high school,did not attend same college or university,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,4,,different sex couple,,female,3,80%-91.99%,3%-19.99%,4%-19.99%,$34000-$41999,5%-11.99%,non rural,16-20,male,false,2009-02-01,2011-04-01,1.0,21.161643835616438,21.161643835616438,16.161643835616438,21.161643835616438,0,0.0,0.0,5.0,5.0,0.0,0,1,1,79999.5,none/catholic
453361,"some college, no degree",some college,1,4,a one-family house detached from any other house,"$75,000 to $84,999",married,metro,south,south atlantic,owned or being bought by you or someone in your household,0,0,2,0,2,working - as a paid employee,1,2011-06-01,39.0,4.0,2013,male,"white, non-hispanic","no, i am not","yes, friends",republican,no,none,4478,4478,4478,8472,11317,10052,10052,2342.218018,1,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,catholic,"yes, the same",,"some college, no degree",hs graduate or ged,republican,"yes, the same",,hs graduate or ged,united states,0,opposite gender only,,,,17,17.0,22,22, ,i earned more,same high school,did not attend same college or university,yes,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,4,,different sex couple,,female,3,80%-91.99%,3%-19.99%,4%-19.99%,$34000-$41999,5%-11.99%,non rural,16-20,male,false,2011-04-01,2013-03-01,1.0,23.07945205479452,23.07945205479452,18.07945205479452,23.07945205479452,0,0.0,0.0,5.0,5.0,0.0,0,1,1,79999.5,none/catholic
461511,high school graduate - high school diploma or the equivalent (ged),high school,1,2,a one-family house detached from any other house,"$100,000 to $124,999",married,metro,midwest,east-north central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-07-01,53.0,2.0,2011,male,"white, non-hispanic","no, i am not",no,democrat,no,baptist - any denomination,44450,44450,44450,46340,61804, , ,23249.57227,0,,no (not latino or hispanic),white,no,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, the same",,hs graduate or ged,hs graduate or ged,democrat,"yes, the same",,12th grade no diploma,united states,4,opposite gender only,,,,15,15.0,19,19, ,partner earned more,same high school,,yes,no,no,no,no,no,no,no,no,yes,no,0,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,2,,different sex couple,,female,3,80%-91.99%,3%-19.99%,2%-3.99%,$42000-$64999,<2%,non rural,31+,female,false,2009-02-01,2011-06-01,1.0,38.32876712328767,38.32876712328767,34.32876712328767,38.32876712328767,0,0.0,0.0,4.0,4.0,0.0,0,1,1,112499.5,protestant/baptist
465386,masters degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$40,000 to $49,999",living with partner,metro,northeast,new england,rented for cash,0,0,2,0,0,working - self-employed,1,2009-04-01,39.0,2.0,2011,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,none,4999,4999,4999,7501,10019,8021,8021,3326.5,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,bachelor's degree,professional or doctorate degree,democrat,"no, i have changed religions",catholic,associate degree,united states,0,same gender mostly,no,no,have neither dp nor cu,31,31.0,36, , ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,8,55%-79.99%,3%-19.99%,4%-19.99%,$42000-$64999,12%+,non rural,6-10,male,true,2009-02-01,2011-04-01,0.0,9.161643835616438,9.161643835616438,4.161643835616438,9.161643835616438,0,0.0,,,,0.0,0,0,1,44999.5,both none
465386,masters degree,bachelor's degree or higher,1,2,a building with 2 or more apartments,"$50,000 to $59,999",never married,metro,northeast,new england,rented for cash,0,0,2,0,0,working - self-employed,1,2011-05-01,41.0,2.0,2013,male,"white, non-hispanic","no, i am not","yes, both",democrat,no,none,4999,4999,4999,7501,10019,8021,8021,3326.5,1,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,"yes, the same",,bachelor's degree,professional or doctorate degree,democrat,"no, i have changed religions",catholic,associate degree,united states,0,same gender mostly,no,no,have neither dp nor cu,31,31.0,36, , ,i earned more,different high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,no,yes,1,"no, we did not meet through the internet",no,no,no,no,no,yes,no,0,met offline,1,,same-sex couple,,male,8,55%-79.99%,3%-19.99%,4%-19.99%,$42000-$64999,12%+,non rural,6-10,male,true,2011-04-01,2013-03-01,0.0,11.07945205479452,11.07945205479452,6.079452054794521,11.07945205479452,1,0.0,,,,0.0,0,0,0,54999.5,both none
469391,"some college, no degree",some college,1,5,a one-family house detached from any other house,"$125,000 to $149,999",married,metro,west,mountain,owned or being bought by you or someone in your household,0,2,3,0,0,working - as a paid employee,1,2009-04-01,40.0,5.0,2011,male,"white, non-hispanic","no, i am not","yes, both",republican,no,none,27070,27070,27070,26758,35687, , ,14158.96387,0,,no (not latino or hispanic),white,no,none,"yes, the same",,associate degree,hs graduate or ged,republican,"yes, the same",,hs graduate or ged,united states,10,opposite gender only,,,,20,20.0,22,23, ,i earned more,same high school,did not attend same college or university,no,no,no,no,no,no,no,no,no,yes,no,0,"no, we did not meet through the internet",no,yes,no,no,no,no,no,0,met offline,3,,different sex couple,,female,3,55%-79.99%,3%-19.99%,20%+,$34000-$41999,5%-11.99%,non rural,16-20,male,true,2009-02-01,2011-04-01,1.0,21.161643835616438,21.161643835616438,19.161643835616438,21.161643835616438,1,0.0,1.0,3.0,3.0,0.0,0,1,1,137499.5,both none
470261,bachelors degree,bachelor's degree or higher,1,2,a one-family house detached from any other house,"$40,000 to $49,999",married,non-metro,south,east-south central,owned or being bought by you or someone in your household,0,0,2,0,0,working - as a paid employee,1,2009-05-01,27.0,2.0,2011,female,"white, non-hispanic","no, i am not",no,republican,yes,other christian,92950,92950,92950,92089,122819, , ,48617.49609,0,,no (not latino or hispanic),white,no,none,"yes, the same",,master's degree,bachelor's degree,republican,"yes, the same",,hs graduate or ged,united states,4,opposite gender only,,,,10,18.0,24,24, ,i earned more,same high school,attended same college or university,yes,no,no,yes,no,no,no,no,no,no,no,0,"no, we did not meet through the internet",no,no,no,yes,no,no,no,0,met offline,1,,different sex couple,,male,0,92% and higher,<1%,<2%,<$34k,<2%,rural,16-20,female,false,2009-02-01,2011-04-01,1.0,18.161643835616438,10.161643835616438,4.161643835616438,10.161643835616438,0,1.0,0.0,6.0,14.0,8.0,0,1,1,44999.5,none/other christian
